日期,指标代码,指标名称,数值,单位,频率,来源
2020-04-27,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0826,人民币/美元,日度,Frankfurter API
2020-04-28,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.077,人民币/美元,日度,Frankfurter API
2020-04-29,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0765,人民币/美元,日度,Frankfurter API
2020-04-30,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.049,人民币/美元,日度,Frankfurter API
2020-05-04,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0622,人民币/美元,日度,Frankfurter API
2020-05-05,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0622,人民币/美元,日度,Frankfurter API
2020-05-06,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0979,人民币/美元,日度,Frankfurter API
2020-05-07,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0877,人民币/美元,日度,Frankfurter API
2020-05-08,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0754,人民币/美元,日度,Frankfurter API
2020-05-11,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0938,人民币/美元,日度,Frankfurter API
2020-05-12,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0854,人民币/美元,日度,Frankfurter API
2020-05-13,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0898,人民币/美元,日度,Frankfurter API
2020-05-14,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1029,人民币/美元,日度,Frankfurter API
2020-05-15,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1086,人民币/美元,日度,Frankfurter API
2020-05-18,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1148,人民币/美元,日度,Frankfurter API
2020-05-19,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1065,人民币/美元,日度,Frankfurter API
2020-05-20,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1004,人民币/美元,日度,Frankfurter API
2020-05-21,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1048,人民币/美元,日度,Frankfurter API
2020-05-22,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1347,人民币/美元,日度,Frankfurter API
2020-05-25,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1362,人民币/美元,日度,Frankfurter API
2020-05-26,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1316,人民币/美元,日度,Frankfurter API
2020-05-27,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1588,人民币/美元,日度,Frankfurter API
2020-05-28,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1536,人民币/美元,日度,Frankfurter API
2020-05-29,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1351,人民币/美元,日度,Frankfurter API
2020-06-01,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1363,人民币/美元,日度,Frankfurter API
2020-06-02,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1069,人民币/美元,日度,Frankfurter API
2020-06-03,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.1109,人民币/美元,日度,Frankfurter API
2020-06-04,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.117,人民币/美元,日度,Frankfurter API
2020-06-05,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0917,人民币/美元,日度,Frankfurter API
2020-06-08,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0745,人民币/美元,日度,Frankfurter API
2020-06-09,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0856,人民币/美元,日度,Frankfurter API
2020-06-10,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0598,人民币/美元,日度,Frankfurter API
2020-06-11,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0717,人民币/美元,日度,Frankfurter API
2020-06-12,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0763,人民币/美元,日度,Frankfurter API
2020-06-15,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.095,人民币/美元,日度,Frankfurter API
2020-06-16,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0783,人民币/美元,日度,Frankfurter API
2020-06-17,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0871,人民币/美元,日度,Frankfurter API
2020-06-18,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0883,人民币/美元,日度,Frankfurter API
2020-06-19,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0769,人民币/美元,日度,Frankfurter API
2020-06-22,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0764,人民币/美元,日度,Frankfurter API
2020-06-23,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0634,人民币/美元,日度,Frankfurter API
2020-06-24,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.072,人民币/美元,日度,Frankfurter API
2020-06-25,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.072,人民币/美元,日度,Frankfurter API
2020-06-26,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.072,人民币/美元,日度,Frankfurter API
2020-06-29,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0756,人民币/美元,日度,Frankfurter API
2020-06-30,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0744,人民币/美元,日度,Frankfurter API
2020-07-01,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0671,人民币/美元,日度,Frankfurter API
2020-07-02,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0671,人民币/美元,日度,Frankfurter API
2020-07-03,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0661,人民币/美元,日度,Frankfurter API
2020-07-06,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0197,人民币/美元,日度,Frankfurter API
2020-07-07,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0228,人民币/美元,日度,Frankfurter API
2020-07-08,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0143,人民币/美元,日度,Frankfurter API
2020-07-09,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9855,人民币/美元,日度,Frankfurter API
2020-07-10,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0018,人民币/美元,日度,Frankfurter API
2020-07-13,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0005,人民币/美元,日度,Frankfurter API
2020-07-14,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0158,人民币/美元,日度,Frankfurter API
2020-07-15,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9884,人民币/美元,日度,Frankfurter API
2020-07-16,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9968,人民币/美元,日度,Frankfurter API
2020-07-17,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9982,人民币/美元,日度,Frankfurter API
2020-07-20,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9874,人民币/美元,日度,Frankfurter API
2020-07-21,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9896,人民币/美元,日度,Frankfurter API
2020-07-22,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9959,人民币/美元,日度,Frankfurter API
2020-07-23,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0064,人民币/美元,日度,Frankfurter API
2020-07-24,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.017,人民币/美元,日度,Frankfurter API
2020-07-27,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.002,人民币/美元,日度,Frankfurter API
2020-07-28,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0019,人民币/美元,日度,Frankfurter API
2020-07-29,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9993,人民币/美元,日度,Frankfurter API
2020-07-30,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,7.0033,人民币/美元,日度,Frankfurter API
2020-07-31,USD_CNY,人民币/美元汇率（USD/CNY，1美元兑人民币）,6.9748,人民币/美元,日度,Frankfurter API
